parent_id,name,description,header
344,1164 - SYDNEY,1164 - SYDNEY - NSW,FALSE
344,1165 - SYDNEY,1165 - SYDNEY - NSW,FALSE
344,1166 - SYDNEY,1166 - SYDNEY - NSW,FALSE
344,1167 - SYDNEY,1167 - SYDNEY - NSW,FALSE
344,1168 - SYDNEY,1168 - SYDNEY - NSW,FALSE
344,1169 - SYDNEY,1169 - SYDNEY - NSW,FALSE
344,1170 - SYDNEY,1170 - SYDNEY - NSW,FALSE
344,1171 - SYDNEY,1171 - SYDNEY - NSW,FALSE
344,1172 - SYDNEY,1172 - SYDNEY - NSW,FALSE
344,1173 - SYDNEY,1173 - SYDNEY - NSW,FALSE
344,1174 - SYDNEY,1174 - SYDNEY - NSW,FALSE
344,1175 - SYDNEY,1175 - SYDNEY - NSW,FALSE
344,1176 - SYDNEY,1176 - SYDNEY - NSW,FALSE
344,1177 - SYDNEY,1177 - SYDNEY - NSW,FALSE
344,1178 - SYDNEY,1178 - SYDNEY - NSW,FALSE
344,1179 - SYDNEY,1179 - SYDNEY - NSW,FALSE
344,1180 - SYDNEY,1180 - SYDNEY - NSW,FALSE
344,1181 - SYDNEY,1181 - SYDNEY - NSW,FALSE
344,1182 - SYDNEY,1182 - SYDNEY - NSW,FALSE
344,1183 - SYDNEY,1183 - SYDNEY - NSW,FALSE
344,1184 - SYDNEY,1184 - SYDNEY - NSW,FALSE
344,1185 - SYDNEY,1185 - SYDNEY - NSW,FALSE
344,1186 - SYDNEY,1186 - SYDNEY - NSW,FALSE
344,1187 - SYDNEY,1187 - SYDNEY - NSW,FALSE
344,1188 - SYDNEY,1188 - SYDNEY - NSW,FALSE
344,1189 - SYDNEY,1189 - SYDNEY - NSW,FALSE
344,1190 - SYDNEY,1190 - SYDNEY - NSW,FALSE
344,1191 - SYDNEY,1191 - SYDNEY - NSW,FALSE
344,1192 - SYDNEY,1192 - SYDNEY - NSW,FALSE
344,1193 - SYDNEY,1193 - SYDNEY - NSW,FALSE
344,1194 - SYDNEY,1194 - SYDNEY - NSW,FALSE
344,1195 - SYDNEY,1195 - SYDNEY - NSW,FALSE
344,1196 - SYDNEY,1196 - SYDNEY - NSW,FALSE
344,1197 - SYDNEY,1197 - SYDNEY - NSW,FALSE
344,1198 - SYDNEY,1198 - SYDNEY - NSW,FALSE
344,1199 - SYDNEY,1199 - SYDNEY - NSW,FALSE
344,1201 - SYDNEY,1201 - SYDNEY - NSW,FALSE
344,1202 - SYDNEY,1202 - SYDNEY - NSW,FALSE
344,1203 - SYDNEY,1203 - SYDNEY - NSW,FALSE
344,1205 - SYDNEY,1205 - SYDNEY - NSW,FALSE
344,1207 - SYDNEY,1207 - SYDNEY - NSW,FALSE
344,1208 - HAYMARKET,1208 - HAYMARKET - NSW,FALSE
344,1209 - AUSTRALIA SQUARE,1209 - AUSTRALIA SQUARE - NSW,FALSE
344,1210 - AUSTRALIA SQUARE,1210 - AUSTRALIA SQUARE - NSW,FALSE
344,1211 - AUSTRALIA SQUARE,1211 - AUSTRALIA SQUARE - NSW,FALSE
344,1212 - AUSTRALIA SQUARE,1212 - AUSTRALIA SQUARE - NSW,FALSE
344,1213 - AUSTRALIA SQUARE,1213 - AUSTRALIA SQUARE - NSW,FALSE
344,1214 - AUSTRALIA SQUARE,1214 - AUSTRALIA SQUARE - NSW,FALSE
344,1215 - AUSTRALIA SQUARE,1215 - AUSTRALIA SQUARE - NSW,FALSE
344,1216 - GROSVENOR PLACE,1216 - GROSVENOR PLACE - NSW,FALSE
344,1217 - GROSVENOR PLACE,1217 - GROSVENOR PLACE - NSW,FALSE
344,1218 - GROSVENOR PLACE,1218 - GROSVENOR PLACE - NSW,FALSE
344,1219 - GROSVENOR PLACE,1219 - GROSVENOR PLACE - NSW,FALSE
344,1220 - GROSVENOR PLACE,1220 - GROSVENOR PLACE - NSW,FALSE
344,1221 - ROYAL EXCHANGE,1221 - ROYAL EXCHANGE - NSW,FALSE
344,1222 - ROYAL EXCHANGE,1222 - ROYAL EXCHANGE - NSW,FALSE
344,1223 - ROYAL EXCHANGE,1223 - ROYAL EXCHANGE - NSW,FALSE
344,1224 - ROYAL EXCHANGE,1224 - ROYAL EXCHANGE - NSW,FALSE
344,1225 - ROYAL EXCHANGE,1225 - ROYAL EXCHANGE - NSW,FALSE
344,1226 - QUEEN VICTORIA BUILDING,1226 - QUEEN VICTORIA BUILDING - NSW,FALSE
344,1227 - QUEEN VICTORIA BUILDING,1227 - QUEEN VICTORIA BUILDING - NSW,FALSE
344,1228 - QUEEN VICTORIA BUILDING,1228 - QUEEN VICTORIA BUILDING - NSW,FALSE
344,1229 - QUEEN VICTORIA BUILDING,1229 - QUEEN VICTORIA BUILDING - NSW,FALSE
344,1230 - QUEEN VICTORIA BUILDING,1230 - QUEEN VICTORIA BUILDING - NSW,FALSE
344,1231 - SYDNEY SOUTH,1231 - SYDNEY SOUTH - NSW,FALSE
344,1232 - SYDNEY SOUTH,1232 - SYDNEY SOUTH - NSW,FALSE
344,1233 - SYDNEY SOUTH,1233 - SYDNEY SOUTH - NSW,FALSE
344,1234 - SYDNEY SOUTH,1234 - SYDNEY SOUTH - NSW,FALSE
344,1235 - SYDNEY SOUTH,1235 - SYDNEY SOUTH - NSW,FALSE
344,1236 - HAYMARKET,1236 - HAYMARKET - NSW,FALSE
344,1237 - HAYMARKET,1237 - HAYMARKET - NSW,FALSE
344,1238 - HAYMARKET,1238 - HAYMARKET - NSW,FALSE
344,1239 - HAYMARKET,1239 - HAYMARKET - NSW,FALSE
344,1240 - HAYMARKET,1240 - HAYMARKET - NSW,FALSE
344,1291 - SYDNEY,1291 - SYDNEY - NSW,FALSE
344,1292 - SYDNEY,1292 - SYDNEY - NSW,FALSE
344,1293 - SYDNEY,1293 - SYDNEY - NSW,FALSE
344,1294 - SYDNEY,1294 - SYDNEY - NSW,FALSE
344,1295 - SYDNEY,1295 - SYDNEY - NSW,FALSE
344,1296 - SYDNEY,1296 - SYDNEY - NSW,FALSE
344,1297 - SYDNEY,1297 - SYDNEY - NSW,FALSE
344,1298 - SYDNEY,1298 - SYDNEY - NSW,FALSE
344,1299 - SYDNEY,1299 - SYDNEY - NSW,FALSE
344,1300 - DARLINGHURST,1300 - DARLINGHURST - NSW,FALSE
344,1314 - EASTERN SUBURBS MC,1314 - EASTERN SUBURBS MC - NSW,FALSE
344,1335 - POTTS POINT,1335 - POTTS POINT - NSW,FALSE
344,1340 - KINGS CROSS,1340 - KINGS CROSS - NSW,FALSE
344,1350 - WOOLLAHRA,1350 - WOOLLAHRA - NSW,FALSE
344,1355 - BONDI JUNCTION,1355 - BONDI JUNCTION - NSW,FALSE
344,1360 - DOUBLE BAY,1360 - DOUBLE BAY - NSW,FALSE
344,1401 - BROADWAY,1401 - BROADWAY - NSW,FALSE
344,1405 - CHULLORA,1405 - CHULLORA - NSW,FALSE
344,1419 - SOUTHERN SUBURBS MC,1419 - SOUTHERN SUBURBS MC - NSW,FALSE
344,1420 - STRAWBERRY HILLS,1420 - STRAWBERRY HILLS - NSW,FALSE
344,1422 - STRAWBERRY HILLS,1422 - STRAWBERRY HILLS - NSW,FALSE
344,1423 - STRAWBERRY HILLS,1423 - STRAWBERRY HILLS - NSW,FALSE
344,1424 - STRAWBERRY HILLS,1424 - STRAWBERRY HILLS - NSW,FALSE
344,1425 - STRAWBERRY HILLS,1425 - STRAWBERRY HILLS - NSW,FALSE
344,1426 - STRAWBERRY HILLS,1426 - STRAWBERRY HILLS - NSW,FALSE
344,1427 - STRAWBERRY HILLS,1427 - STRAWBERRY HILLS - NSW,FALSE
344,1428 - STRAWBERRY HILLS,1428 - STRAWBERRY HILLS - NSW,FALSE
344,1429 - STRAWBERRY HILLS,1429 - STRAWBERRY HILLS - NSW,FALSE
344,1430 - EVELEIGH,1430 - EVELEIGH - NSW,FALSE
344,1435 - ALEXANDRIA,1435 - ALEXANDRIA - NSW,FALSE
344,1440 - WATERLOO,1440 - WATERLOO - NSW,FALSE
344,1441 - WATERLOO,1441 - WATERLOO - NSW,FALSE
344,1445 - ROSEBERY,1445 - ROSEBERY - NSW,FALSE
344,1450 - CAMPERDOWN,1450 - CAMPERDOWN - NSW,FALSE
344,1455 - BOTANY,1455 - BOTANY - NSW,FALSE
344,1460 - MASCOT,1460 - MASCOT - NSW,FALSE
344,1465 - KENSINGTON,1465 - KENSINGTON - NSW,FALSE
344,1466 - UNSW SYDNEY,1466 - UNSW SYDNEY - NSW,FALSE
344,1470 - DRUMMOYNE,1470 - DRUMMOYNE - NSW,FALSE
344,1475 - MARRICKVILLE,1475 - MARRICKVILLE - NSW,FALSE
344,1476 - MARRICKVILLE,1476 - MARRICKVILLE - NSW,FALSE
344,1480 - KINGSGROVE,1480 - KINGSGROVE - NSW,FALSE
344,1481 - HURSTVILLE BC,1481 - HURSTVILLE BC - NSW,FALSE
344,1484 - KINGSGROVE DC,1484 - KINGSGROVE DC - NSW,FALSE
344,1485 - KOGARAH,1485 - KOGARAH - NSW,FALSE
344,1490 - MIRANDA,1490 - MIRANDA - NSW,FALSE
344,1493 - HURSTVILLE,1493 - HURSTVILLE - NSW,FALSE
344,1495 - CARINGBAH,1495 - CARINGBAH - NSW,FALSE
344,1499 - SUTHERLAND,1499 - SUTHERLAND - NSW,FALSE
344,1515 - WEST CHATSWOOD,1515 - WEST CHATSWOOD - NSW,FALSE
344,1560 - NORTHBRIDGE,1560 - NORTHBRIDGE - NSW,FALSE
344,1565 - MILSONS POINT,1565 - MILSONS POINT - NSW,FALSE
344,1570 - ARTARMON,1570 - ARTARMON - NSW,FALSE
344,1585 - CROWS NEST,1585 - CROWS NEST - NSW,FALSE
344,1590 - ST LEONARDS,1590 - ST LEONARDS - NSW,FALSE
344,1595 - LANE COVE,1595 - LANE COVE - NSW,FALSE
344,1597 - LANE COVE,1597 - LANE COVE - NSW,FALSE
344,1602 - LANE COVE DC,1602 - LANE COVE DC - NSW,FALSE
344,1630 - HORNSBY,1630 - HORNSBY - NSW,FALSE
344,1635 - HORNSBY WESTFIELD,1635 - HORNSBY WESTFIELD - NSW,FALSE
344,1639 - FRENCHS FOREST,1639 - FRENCHS FOREST - NSW,FALSE
344,1640 - FRENCHS FOREST,1640 - FRENCHS FOREST - NSW,FALSE
344,1655 - MANLY,1655 - MANLY - NSW,FALSE
344,1658 - MONA VALE,1658 - MONA VALE - NSW,FALSE
344,1660 - MONA VALE,1660 - MONA VALE - NSW,FALSE
344,1670 - NORTH RYDE,1670 - NORTH RYDE - NSW,FALSE
